Name,Degrees,Department,Department2,Rank,AdministrativePosition,Faculty
"Baird,Norman C ","BSc, Ph.D. McGill; The University of Western Ontario Excellence in Teaching Award(1990), 3M Teaching Fellowship (1996) ; ",Chemistry ,,Professor Emeritus ,,Science
"Bajura,Steven Wally ","BSc Honors, Wester; MSc., Western; DDS, Western ",Dentistry ,,Assistant Professor ,,Schulich
"Baka,Richard Steven Paul ","BA, MA ; BPE McMaster; Ph.D. Alberta; ",Kinesiology-Office of Director ,,Professor ,,Health Sciences
"Bakan,Jonathon ","BFA, MA, Ph.D. York ",Music - Research & Composition ,,Assistant Professor ,,Music
"Baker,Sharon Louise ",MD at Western ,Family Medicine - General ,,Assistant Professor/MD ,,Schulich
"Baker,Ted Read ","BA, MART Western ",First Nations Studies Program ,,Lecturer ,,Social Science
"Balakrishnan,Tattamangalam R ","BA, MA Madras; Ph.D. Michigan; ",Sociology ,,Professor Emeritus ,,Social Science
"Baldwin,Clark ","BS, MD Univ of Torontooronto ",Family Medicine - General ,,Adjunct/MD ,,Schulich
"Ball,Edward J ","BSc Cleveland State Univ USA, Ph.D. U of Cincinnatti USA ",Pathology ,,Associate Professor ,,Schulich
"Ball,Eric Howard ",BSc at ALBERTA ; Ph.D. at Western ,Biochemistry ,,Professor ,,Schulich
"Ball,Jill M. ",BMUS Central Michigan; DMA Michigan State; MM Northwestern; ,Music - Office of the Dean ,,Assistant Professor ,,Music
"Ball,Judith K ","BSc Mount Allison; MSc, Ph.D. Dalhousie ",Biochemistry ,,Professor Emeritus ,,Schulich
"Ballagh,Robert Hamilton ",BSc MD at Western ,Otolaryngology ,,Adjunct/MD ,,Schulich
"Ballantyne,James F. ",MD Toronto; FRCSCan ,Ophthalmology ,,Clinical Professor Emeritus ,,Schulich
"Ballingall,David Low ",MbChB Glasgow Great Britain ,Oncology ,,Adjunct/MD ,,Schulich
"Balsom,Rodney Velmore ","BA, Ph.D. Canada ",Psychology ,,Adjunct Clinical Professor ,,Social Science
"Bancroft,G. Michael ","OC; BSc, MSc, Manitoba; Ph.D. Cantab; SCD ; ",Chemistry ,,Adjunct Research Professor/Professor Emeritus ,,Science
"Bancroft,John B. ",Bachelors BC; Ph.D. USA ,Biology ,,Professor Emeritus ,,Science
"Banerjee,Neil R ","BSc UofT, MSc Dalhousie; Ph.D. Victoria ",Earth Sciences ,,Associate Professor ,,Science
"Bangarth,Stephanie ","BA, Western ",History ,,Adjunct Research Professor ,,Social Science
"Banks,Michelle Dawn ","BA, Dalhousie Univ; MA, Dalhousie Univ; Ph.D. Western ",Film Studies ,,Assistant Professor ,,Arts & Humanities
"Banner,Robert ",Professional ,Anesthesia-Perioperative Med ,,Adjunct/MD ,,Schulich
"Bannerjee,Rohini Reena ","BSc, MA Dalhousie NS; Ph.D. Western ",French Studies ,,Assistant Professor ,,Arts & Humanities
"Bansal,Pratima (Tima) ","BA Calgary; DPHIL, MPHIL Oxford; MA Western; ",Business - Associate Dean ,,Professor ,,Ivey
"Banting,David William ","DDPH, DDS, MSc Toronto; FRCD(C), Ph.D. ; ",Dentistry ,,Professor Emeritus ,,Schulich
"Barari Amirkola,Ahmad ","Ph.D., P.Eng. ",Mechanical & Materials ,,Adjunct Research Professor ,,Engineering
"Barbeau,Michele Louise ","BSc Honors, Western; MSc., Western; Bach Ed, Western; Ph.D. Western ",Anatomy & Cell Biology ,,Lecturer ,,Schulich
"Barclay,Donald W ","BSc Bishop's; MA, Ph.D. Michigan; MBA McMaster; ",Business - Associate Dean ,,Professor Emeritus ,,Ivey
"Barghi,Shahzad ","BSc, MSc Iran; Ph.D. London; P. Eng. ",Chemical &Biochem Engineering ,,Assistant Professor ,,Engineering
"Barker,Danika ",BA Western; BED Western ,Education - Preservice Office ,,Lecturer ,,Education
"Barker,Gillian ","BA Toronto, Ph.D. California ",Philosophy ,,Assistant Professor ,,Arts & Humanities
"Barmby,Pauline M ","BS UBC, Ph.D. Harvard ",Physics and Astronomy ,,Assistant Professor ,,Science
"Barnett-Cowan,Michael Franklin Tom ",Ph.D. York Univ ,Psychology ,,Adjunct Research Professor ,,Social Science
"Barnett,Henry J M ",MD Toronto; FRCPCan ,Clinical Neurological Science ,,Professor Emeritus ,,Schulich
"Barnett,John ",BSc BED Mount Allison; MEd St. Mary's; MSc Acadia; Ph.D. Toronto; ,Education - Office of the Dean ,,Associate Professor ,,Education
"Barnett,William Howard ",FRCPCan FRCPCan MBBCh at RCP IRELAND ; BA at TORONTO ,Department of Medicine ,,Associate Professor/MD ,,Schulich
"Barney,Robert K ","BS, MS, Ph.D. New Mexico; ",Kinesiology-Office of Director/Health Sciences - Dean's Office ,,Professor Emeritus ,,Health Sciences
"Barnier,Jodi Lyn ",BSN Laurentian; RN Fanshawe ,Nursing ,,Lecturer ,,Health Sciences
"Baron-Woods,Kristina ",BSN Brandon MB; MSN Athabasca Alberta ,Music - Research & Composition ,,Lecturer ,,Music
"Barr,Jennifer ",BScPhm at UBC ; MD FRCPCan at VICTORIA ,Psychiatry ,,Assistant Professor/MD ,Course Coordinator ,Schulich
"Barr,Lauren ","BA, Western; MA, Western, Bach Ed, Western ",Sociology ,,Lecturer ,,Social Science
"Barr,Robert M ",MD; FRCPCan ,Department of Medicine ,,Professor Emeritus ,,Schulich
"Barr,Stephen ",BSc Ph.D. at CALGARY ,Microbiology & Immunology ,,Assistant Professor ,,Schulich
"Barra,Lillian ",BS Univ of Torontooronto; MD Western ,Department of Medicine ,,Assistant Professor/MD ,,Schulich
"Barral,Myrlinda ",MD FRCPCan ,Psychiatry - Ext Camp Program ,,Adjunct/MD ,,Schulich
"Barrick,David Donald ",BA Western; MART Concordia QC ,Arts - Writing ,,Lecturer ,,Arts & Humanities
"Barron,John ","BA, BSc Memorial; MSc, Ph.D. Toronto; ",Computer Science ,,Professor ,,Science
"Barron,Tatyana ",BA Russian Federation; Ph.D. Penn State USA ,Mathematics ,,Associate Professor ,,Science
"Barron,Virginia ","Univ of Toronto, Manhattan School of Music ",Music - Performance Studies ,,Lecturer ,,Music
"Barry,John Martin ",BA Western ,Education - Preservice Office ,,Lecturer ,,Education
"Barry,Raya Layne ",BA Western ,Psychiatry ,,Lecturer ,,Schulich
"Barsanti-Innes,Marilyn Ann ","BA, Bach Ed., Western; M.Ed., Western ",Education - Preservice Office ,,Lecturer ,,Education
"Bart-Riedstra,Carolynn Elizabeth ","BA, M Ed Western ",Info & Media Studies - General ,,Lecturer ,,Information & Media Studies
"Barteet,Charles Cody ",BA Charleston; MA Texas at San Antonio; Ph.D. SUNY Binghamton ,Visual Arts ,,Assistant Professor ,,Arts & Humanities
"Barth,Aaron Mitchell ",BA Queen's U; Ph.D. Western ,Philosophy ,,Assistant Professor ,,Arts & Humanities
"Bartha,Robert ",Ph.D. at Western ; BSc at WATERLOO ,Department of Medical Imaging/Medical Biophysics/Psychiat ,,Associate Professor ,,Schulich
"Bartlett,Doreen J ","BSc(PT) Queen's; MSc, Ph.D. Alberta; ",Physical Therapy ,,Professor ,,Health Sciences
"Bartlett,Michael F ",BSc Queen's; MASc Waterloo; Ph.D. Alberta; P. Eng.; THE UNIVERSITY OF WESTERN ONTARIO EDWARD G. PLEVA AWARD FOR EXCELLENCE IN TEACHING (2000) ,Civil & Environmental ,,Professor ,,Engineering
"Bartlett,Paul R ","B.Sc., M.D., C.C.F.P. U of Alberta ",Family Medicine - General/Schulich - Education Office ,,Assistant Professor/MD ,,Schulich
"Bartley,Debra ",FRCPCan MD at TORONTO ; BSc at WLU ,Surgery/Paediatrics ,,Assistant Professor/MD ,,Schulich
"Bartley,Peter Andrew ",BMUS ,Music - Education ,,Lecturer ,,Music
"Barton,Peter G ",BScF Toronto; LLB Queen's; LLM Harvard; OF THE LAW SOCIETY OF UPPER CANADA ,Law - Office of the Dean ,,Professor Emeritus ,,Law
"Baruah,Bipasha ","BA Delhi Univ, IND; Masters ON; Ph.D. York Univ ",Womens' Studies ,,Associate Professor ,,Arts & Humanities
"Barwitzki,Gary Wilhelm ",MD Western ,Department of Medicine/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Barysevich,Alena ","BA, Minsk Linguistic Univ; MA, Western; Ph.D. Western ",Modern Languages & Literatures/French Studies ,,Assistant Professor ,,Arts & Humanities
"Barysevich,Veranika ",BA Minsk State Ling U BLR; MART Western ,French Studies ,,Lecturer ,,Arts & Humanities
"Bassi,Amarjeet Singh ",BTECH Beneres; MS Sask; Ph.D. Western; P. Eng. ,Chemical &Biochem Engineering ,,Professor ,,Engineering
"Bassnett,Madeline ",BA Univ of Torontooronto; Ph.D. Dalhousie Univ ,English/Womens' Studies ,,Assistant Professor ,,Arts & Humanities
"Bassnett,Sarah ","BA, MA York; Ph.D. Binghamton; ",Visual Arts ,,Associate Professor ,Graduate Chair ,Arts & Humanities
"Basu,Shantanu ","BSc Florida State; MSc, Ph.D. Illinois (Urbana); ",Physics and Astronomy ,,Professor ,Department Chair ,Science
"Bates,Peter ","HBA and MA, Western ",Education - Graduate Education ,,Assistant Professor ,,Education
"Bathurst,Rhonda Rene ","BA, Ph.D. McMaster Univ ",Anthropology ,,Adjunct Research Professor ,,Social Science
"Batohi,Pravin ",MBChB at NATAL ; FRCPCan at Western ,Anesthesia-Perioperative Med ,,Assistant Professor/MD ,,Schulich
"Batterman,Robert W ","BA Cornell; MA, Ph.D. Michigan ",Philosophy ,,Adjunct Research Professor ,,Arts & Humanities
"Battista,Jerry Joseph ",BSc at CONCORDIA ; Ph.D. at TORONTO ; MSc at Western ,Medical Biophysics/Oncology ,Physics and Astronomy ,Professor ,Department Chair ,Schulich
"Bauer,Greta R ",BS MPH Ph.D. at MINNESOTA ,Epidemiology and Biostatistics ,Womens' Studies ,Associate Professor ,,Schulich
"Bauer,Michael A. ","BSc Dayton; MSc, Ph.D. Toronto; OCUFA Teaching Award (1981), The Edward G. Pleva Award for Excellence in Teaching (1981); ",Computer Science ,,Professor ,,Science
"Baum,Kayla L ","BA, Indiana Univ, USA; MART, Western ",Sociology ,,Lecturer ,,Social Science
"Bauman,Glenn S ",FRCP MD at Western ,Medical Biophysics/Oncology/Schulich - Office of the Dean ,,Professor ,Department Chair ,Schulich
"Bausmer,Tracy ",BS McMaster; MD Univ of Torontooronto ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Bax,Karen Ann ",BA U of Ottawa ,Psychology ,,Adjunct Clinical Professor ,,Social Science
"Bax,Kevin C ","MD, FAAP ",Paediatrics ,,Assistant Professor/MD ,,Schulich
"Baxter,Eli Monroe ",BA Ontario ,First Nations Studies Program ,,Lecturer ,,Social Science
"Baxter,Jamie W ","BA Queen's; MA, Ph.D. McMaster; ",Geography ,,Associate Professor ,,Social Science
"Beach,Craig Aaron ",BA Western; MD McMaster Univ ,Psychiatry ,,Assistant Professor/MD ,,Schulich
"Beach,David ",BA Brown Univ USA; Ph.D. Yale Univ USA ,Music - Research & Composition ,,Adjunct Professor ,,Music
"Beal,Timothy ",BS U of California; MD U of Rochester ,Psychiatry ,,Adjunct/MD ,,Schulich
"Beamish-MacMillan,Gwen ","ARCT, LRCT ; MMUS Michigan; ",Music - Office of the Dean ,,Lecturer ,,Music
"Beamish,Paul William ","BA, Ph.D. Western; ",Business - Associate Dean ,,Professor ,,Ivey
"Beath,Robert L ",DDS at Western ,Graduate Orthodontics ,,Adjunct Clinical Professor ,,Schulich
"Beaton,Melanie ",FRCPCan MD at OTTAWA ; BS at Queen's ,Department of Medicine ,,Assistant Professor/MD ,,Schulich
"Beaton,W D ",DDS Toronto; MSc Manitoba ,Graduate Orthodontics ,,Adjunct Clinical Professor ,,Schulich
"Beattie,Sean David ",DDS Marquette U USA: MSD Indiana U USA ,Dental Clinics ,,Adjunct Clinical Professor ,,Schulich
"Beatty,Amy Elizabeth ",Bachelors ON ,Nursing ,,Lecturer ,,Health Sciences
"Beauchemin,Steven ","BSc Trois Rivieres; MSc, Ph.D. ; ",Computer Science ,,Associate Professor ,,Science
"Beaudin,Andre ","Bachelors, Ph.D. QC ",French Studies ,,Adjunct Professor ,,Arts & Humanities
"Beaujot,Roderic P ","BA College Mathieu; MA, Ph.D. Alberta; ",Sociology ,,Adjunct Research Professor/Professor Emeritus ,,Social Science
"Bechard,Daniel Jerome ","BA Honors, Western; MSc., Ph.D., Western ",Kinesiology-Office of Director ,,Associate Professor ,,Health Sciences
"Beck,Alan E ",BSc London; PhD Australian National; ,Earth Sciences ,,Professor Emeritus ,,Science
"Becker,Helmut J. ","BA Saskatchewa, MS Wisconsin ",Visual Arts ,,Professor Emeritus ,,Arts & Humanities
"Beckhoff,Gerhard Franz ",,Computer Science ,,Professor Emeritus ,,Science
"Bedard,Nicholas Charles ","BS, MART Western ",Economics ,,Lecturer ,,Social Science
"Bednar,Daniel ",BA U of Winnipeg; MART Western ,Geography ,,Lecturer ,,Social Science
"Beeckmans,Jan M ","Bsc University College UK, MASc Univ of Toronto, Ph.D. Univ of Toronto ",Engineering - Office of Dean ,,Professor Emeritus ,,Engineering
"Begen,Mehmet ","BS Turkey, MS UBC ",Business - Associate Dean ,Epidemiology and Biostatistics ,Assistant Professor ,,Ivey
"Begy,Jane Elizabeth ",Bachelors ON ,Education - Continuing Educ ,,Lecturer ,,Education
"Behrens,Jack ","BSc, MSc Juilliard; Ph.D. Harvard; ",Music - Office of the Dean ,,Professor Emeritus ,,Music
"Behzadi,Hida ",BA Ontario ,Info & Media Studies - General ,,Lecturer ,,Information & Media Studies
"Beier,Frank ",Ph.D. at ERLANGEN-NUREM ,Oncology/Physiology and Pharmacology/Dentistry ,,Professor ,Assistant Chair ,Schulich
"Belanger,Daniele ","BA Ottawa, MA Paris, Ph.D. Montreal ",Sociology ,,Professor ,,Social Science
"Belfry,Glen Robert ","BA, MA ; BA Ottawa; BEd Queen's; ",Kinesiology - General ,,Assistant Professor ,,Health Sciences
"Bell,David A ",MD; FRCPCan ,Department of Medicine ,,Emeritus ,,Schulich
"Bell,David W ",BA Ontario ,Education - Continuing Educ ,,Lecturer ,,Education
"Bell,Edward ","BA U of Victoria, MA U of Alberta, Ph.D. McGill ",Sociology ,,Adjunct Research Professor ,,Social Science
"Bell,John L ","BA, MA, Ph.D. Oxford; ",Philosophy ,,Professor ,,Arts & Humanities
"Bell,Kaitlin a ","BA,MART Western ",Nursing ,,Lecturer ,,Health Sciences
"Bell,Peter C ","BA, MA Oxford; MBA, Ph.D. Chicago; ",Business - Associate Dean ,,Professor ,,Ivey
"Bellhouse,David Richard ","BA, MA Manitoba; Ph.D. Waterloo; The University of Western Ontario Excellence in Teaching Award (1985) ",Statistics & Actuarial Science ,,Professor ,,Science
"Bellingham,Geoff Alexander ",MD ,Anesthesia-Perioperative Med ,,Assistant Professor/MD ,,Schulich
"Belliveau,Daniel ",Ph.D. at Western ; BSc at XAVIER ,School of Health Studies ,,Associate Professor ,School Director/Undergraduate Chair ,Health Studies
"Bello,Juan ",BA U of Calolica Venezuels; Mart Internac de Andalucia Spain ,Film Studies ,,Assistant Professor ,,Arts & Humanities
"Belton,Michelle Lynn ","BS, Ph.D. UWO ",Physiology and Pharmacology ,,Adjunct Assistant Professor ,,Schulich
"Belton,Tom Donald ","Bachelors, Masters CANADA ",Info & Media Studies - General ,,Lecturer ,,Information & Media Studies
"Belyea,Melita C. ",MD at TORONTO ; CCFP at Western ; BSc at XAVIER ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Ben Ayed,Ismail ","Ph.D. INRD, QC ",Medical Biophysics ,,Adjunct Assistant Professor ,,Schulich
"Benbow,Sarah ",BS (Nursing) Western ,Nursing ,,Lecturer ,,Health Sciences
"Bend,John R ",BSc MSc at MANITOBA ; Ph.D. at SYDNEY ,Pathology/Paediatrics/Physiology and Pharmacology ,,Professor ,Research Director ,Schulich
"Bendle,Neil ",BA U of Nottingham GBR; MBA U of Virginia ,Business - Associate Dean ,,Assistant Professor ,,Ivey
"Benedetti,Paul ","BA, MA McMaster; ",Info & Media Studies - General ,,Lecturer ,,Information & Media Studies
"Benn,Kelly Dorothy ","Bachelors, Masters CANADA ",Psychology ,,Adjunct Clinical Professor ,,Social Science
"Benner,Ron ",,Visual Arts ,,Adjunct Research Professor ,,Arts & Humanities
"Bennett,James Michael ","BSc Queen's; MA, Ph.D. ; ",Computer Science ,,Professor Emeritus ,,Science
"Bennett,Nicholas J ",BS U of Manitoba MB; MD U of Manitoba MB ,Department of Medicine/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Benoit,Andrea C ",BS (Nursing) Western ,Info & Media Studies - General ,,Lecturer ,,Information & Media Studies
"Bentley,David M ",BA Victoria(BC); MA Carleton; MA Dalhousie; Ph.D. London; ,English ,,Professor ,,Arts & Humanities
"Berard,Roberta ",BS U of Manitoba; MD Univ of Torontooronto ,Paediatrics ,,Assistant Professor/MD ,,Schulich
"Berest,Julia ","BA Ukraine; MA, Central European Univ; Ph.D. Western ",History ,,Assistant Professor ,,Social Science
"Berge,Jonathan Eric ","BESc, Western; MESc, Western; Ph.D. Western ",Chemical &Biochem Engineering ,,Lecturer ,,Engineering
"Bergin,M. ",FRCP BSc BA MD at OTTAWA ,Department of Medicine ,,Associate Professor/MD ,,Schulich
"Bergougnou,Maurice ",BA/Ph.D. USA ,Chemical &Biochem Engineering ,,Professor Emeritus ,,Engineering
"Berman,Helene Anne ","BA Wisconsin; MS Michigan; Ph.D. Wayne State, RegN ",Education - Office of the Dean/Centre-RES&EdViol-AWom&Child ,Nursing /Health Science - Dean's Office ,Professor ,,Education
"Bernadska,Ewa ",LMCC FRCPCan FRCPCan MD at AKAD-LODZ ; MD at WROCLAW ,Anesthesia-Perioperative Med ,,Adjunct/MD ,,Schulich
"Bernards,Mark A ","BSc, Ph.D. Guelph; ",Biology ,,Professor ,Department Chair ,Science
"Berruti,Franco ","DOTT.ING Torino; MASc, Ph.D. Waterloo; PEng ",Chemical &Biochem Engineering/The Institute of Chem & Fuels ,,Professor ,,Engineering
"Bertoia,Chris ",Ph.D. Western ,Kinesiology-Office of Director ,,Lecturer ,,Health Sciences
"Bertoldi,Margaret ",BSc at REGINA ; MD at SASKATCHEWAN ,Paediatrics/Schulich - Education Office ,,Adjunct/MD ,Academic Director ,Schulich
"Bertram,Barbara Ophelia Belen ",BS Wilfrid Laurier Univ; MD McMaster Univ ,Anesthesia-Perioperative Med/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Bertrand,Monique A ",FRCSCan BSc MD at MEMORIAL ; BSc at OTTAWA ,Oncology/Obstetrics & Gynaecology ,,Professor/MD ,,Schulich
"Berube,Nathalie G ",BSc Ph.D. at OTTAWA ,Biochemistry/Paediatrics ,,Associate Professor ,,Schulich
"Bester,C. Alan ","BS, Ph.D. Duke Univ ",Economics ,,Associate Professor ,,Social Science
"Bethune-Davies,Patricia ","BSN, MSN Western ",Nursing ,,Adjunct Assistant Professor ,,Health Sciences
"Bettger-Hahn,Margo Louise ","BS(Nursing) U of Windsor, MS (Nursing) Western ",Nursing ,,Adjunct Assistant Professor ,,Health Sciences
"Betts,Dean Harvey ",Ph.D. at GUELPH ; BSc MSc at Western ,Obstetrics & Gynaecology/Physiology and Pharmacology ,,Associate Professor ,,Schulich
"Bewick,Diane Ruth ","BA, MA Ontario ",Nursing ,,Adjunct Assistant Professor ,,Health Sciences
"Beynon,Charlene Elisabeth ","BSN, MSN Western ",Nursing ,,Adjunct Associate Professor ,,Health Sciences
"Beyrem,Yasser Fadl ","BA, MLIS Western ",Nursing ,,Lecturer ,,Health Sciences
"Bezner Kerr,Rachel ",BSc Toronto; MSc Guelph; Ph.D. Cornell; ,Geography ,,Adjunct Research Professor ,,Social Science
"Bhaduri,Mousumi ","MBBS U of Pune, India ",Department of Medical Imaging ,,Assistant Professor/MD ,,Schulich
"Bhalla,Rashmi ",BS MD at MCMASTER ; CCFP at Western ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Bhandari,Rakesh ",FRCPCan MD MBBS at INDORE ; DA at VIENNA ,Anesthesia-Perioperative Med ,,Associate Professor/MD ,,Schulich
"Bhangu,Raminder ",MBBS at PUNJAB AGR ,Psychiatry - Ext Camp Program/Schulich - Education Office ,,Adjunct/MD ,,Schulich
"Bharatha,Aditya ",BS U of Calgary; MD Univ of Torontooronto ,Department of Medical Imaging ,,Adjunct/MD ,,Schulich
"Bhardwaj,Asha ",FRCPCan MBBS at PUNJAB AGR ,Physical Medicine and Rehab ,,Adjunct/MD ,,Schulich
"Bhatia,Kul B ","BComm, MComm Delhi; Ph.D. Chicago; ",Economics ,,Professor ,,Social Science
"Bhatia,Nandi ","BA, MA, Ph.D. Panjab; MA, Ph.D. Austin; ",English/ Arts - Office of the Dean ,,Professor ,"Associate Dean (Research,Grad) ",Arts & Humanities
"Bhattacharjee,Rabindra ",Ph.D. Osaka Univ Japan ,Chemical &Biochem Engineering ,,Adjunct Research Professor ,,Engineering
"Bhattacharya,Moshmi ",Ph.D. at MCGILL ; BSc at WEST INDIES ,Physiology and Pharmacology ,,Associate Professor ,,Schulich
"Bhattacharya,Scotia ",BA McMaster; MED Western ,Education - Graduate Education ,,Lecturer ,,Education
"Bhayana,Bhooma ",MD at Western ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Bhayana,Vipin ",FCACB Ph.D. at MANITOBA ; BSc at PANJAB ,Clinical Biochemistry ,,Associate Professor ,Course Coordinator ,Schulich
"Bhella,Vishal Singh ",BS U of Ottawa; MD McMaster Univ ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Bhimani,Munsif Ali ",BSc MSc at TORONTO ; MD at Western ,Department of Medicine/Family Medicine - General/Schulich ,,Associate Professor/MD ,,Schulich
"Bianchi,Sophia ","BSc and MD, Univ of Calgary ",Family Medicine - General ,,Adjunct/MD ,,Schulich
"Bidinosti,Dino R ",Degree Manitoba; Ph.D. Ontario ,Chemistry ,,Professor Emeritus ,,Science
"Bidinot,Hugo Luigi ",Professional Degree Ontario ,Anesthesia-Perioperative Med ,,Adjunct/MD ,,Schulich
"Biehn,John ",Professional Degree Ontario ,Family Medicine ,,Professor Emeritus ,,Schulich
"Bielmann,Louis ",BA U of Waterloo; MA U of Victoria BC ,Bachelor of Mgmt & Org Studies ,,Lecturer ,,Social Science
"Bigelow,Ann Kirsten ","BA, CA, MPA ; ",Bachelor of Mgmt & Org Studies ,,Lecturer ,,Social Science
"Biggs,Richard Gregory ",BS Stanford; Ph.D. British Columbia; ,Mathematics ,,Professor Emeritus ,,Science
"Biggs,Terrence Charles ","BA, Ph.D. Ontario ",Psychology ,,Assistant Professor ,,Social Science
"Bigham,Gerald Louis ",BA BA (Hon) MD MD at Western ,Family Medicine - General ,,Adjunct/MD ,,Schulich
"Billings,David J ",BSc MD at MEMORIAL ,Family Medicine - General/Schulich - Education Office ,,Adjunct/MD ,,Schulich
